station;type;nördliche Breite;östliche Länge;Code;;;
010 Wedding;Hintergrund;"52° 32' 34,9476""";"13° 20' 57,5736""";mc010;;;
018 Schöneberg;Hintergrund;"52° 29' 8,93""";"13° 20' 55,59""";mc018;;;
027 Marienfelde;Stadtrand;"52° 23' 54,26""";"13° 22' 5,17""";mc027;;;
032 Grunewald;Stadtrand;"52° 28' 23,49""";"13° 13' 30,52""";mc032;;;
042 Neukölln;Hintergrund;"52° 29' 21,98""";"13° 25' 51,08""";mc042;;;
077 Buch;Stadtrand;"52° 38' 39""";"13° 28' 59""";mc077;;;
085 Friedrichshagen;Stadtrand;"52° 26' 51,71""";"13° 38' 49,38""";mc085;;;
088 Messwagen Leipziger Str.;Verkehr;"52°30'36.8""";"13°23'17.2""";mw088;;;
115 Hardenbergplatz;Verkehr;"52° 30' 23,76""";"13° 19' 58,70""";mc115;;;
117 Schildhornstraße;Verkehr;"52° 27' 49,00""";"13° 19' 5,70""";mc117;;;
124 Mariendorfer Damm;Verkehr;52° 26' 17'';13° 23' 15'';mc124;;;
143 Silbersteinstraße;Verkehr;"52° 28' 3,04""";"13° 26' 29,94""";mc143;;;
145 Frohnau;Stadtrand;"52° 39' 11,77""";"13° 17' 45,89""";mc145;;;
171 Mitte;Hintergrund;"52° 30' 48,98""";"13° 25' 7,80""";mc171;;;
174 Frankfurter Allee;Verkehr;"52° 30' 50,66""";"13° 28' 11,75""";mc174;;;
220 Karl-Marx-Straße;Verkehr;"52° 28' 54,01""";"13° 26' 2,28""";mc220;;;
282 Karlshorst;Hintergrund;"52° 29' 7,0656""";"13° 31' 46,2144""";mc282;;;
;;;;;;;